Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
Asus,3.830295706,16,512,11.18514743,2.641094425,17395.09306
Acer,2.912832959,4,1000,11.3113718,3.260012222,31607.60592
Lenovo,3.24162706,4,256,11.85302268,2.029060648,9291.023542
Acer,3.806248453,16,512,12.28036009,4.573865273,17436.72833
Acer,3.268096586,32,1000,14.99087717,4.193472033,32917.99072
HP,1.881347607,16,256,11.94395768,4.840268106,9543.71998
Lenovo,2.9407209,32,256,11.71324635,4.344846438,10390.13732
Lenovo,3.016787616,4,256,15.58831485,2.941119536,9214.484506
Lenovo,2.560326678,4,512,15.0263317,2.743620076,16372.17528
Acer,3.341110589,32,512,13.61194533,4.093148923,18501.83273
Asus,3.835917537,4,1000,14.29585863,3.092338325,31967.60763
Lenovo,3.813921282,32,512,12.87190412,3.698645047,18534.10863
Acer,2.627098429,8,512,13.89500252,2.018772413,17495.98364
HP,1.783095115,16,256,14.04003589,2.185657105,9731.982415
Asus,3.962102997,8,256,13.32342363,3.606103824,9831.389962
HP,3.597245216,32,256,16.43943326,3.698214939,11038.92813
Asus,1.811656703,16,256,11.09637119,4.254358833,8971.512505
Acer,3.802104707,32,256,15.69302758,2.395895959,10915.05717
Dell,3.674740905,16,256,11.74629699,3.539549251,9637.891638
Asus,2.797095143,16,256,15.78528416,2.583342933,9593.110592
HP,2.978188589,16,1000,14.69547149,2.279588359,31965.35661
Acer,2.49750676,16,1000,16.05966855,3.231487382,32025.83669
Asus,1.636904097,32,1000,11.58508595,2.490009944,32764.27443
Dell,2.337993104,16,1000,14.3538838,2.665345935,32114.8208
Dell,3.507133621,16,256,14.00652728,2.95266374,9929.514356
Lenovo,1.511580058,8,1000,15.2371591,2.778165202,31623.81423
Lenovo,2.333747929,4,256,14.20574331,2.262773892,9264.933977
HP,2.495421734,4,1000,14.2444074,2.269748735,31549.79985
Asus,2.843489007,8,512,13.57757566,2.579748246,16729.55088
Asus,3.799639041,8,1000,12.85300654,2.151677564,31747.60461
Lenovo,2.365864986,32,1000,13.89358617,3.879371059,32817.51658
Asus,2.367383005,32,256,11.71095415,2.86198015,10605.76646
Asus,3.34375312,32,1000,16.76908003,2.839237903,32810.02391
Dell,2.630544852,8,512,15.28646458,2.995994883,17059.60928
Lenovo,2.061512057,8,256,16.7148027,3.988388823,8973.589686
Acer,2.63109879,16,256,12.36036429,4.611901644,9912.491625
Lenovo,1.852142551,32,1000,16.27604612,4.277260798,32801.64628
Acer,1.940967466,32,256,15.85273991,4.182587691,10174.19521
Dell,2.745919432,32,256,15.06291447,3.453173557,10325.36473
HP,2.547313624,4,256,14.75017512,4.081416671,9221.138435
Asus,3.787114753,16,256,12.89929799,3.658287104,10233.78582
Dell,2.405984748,32,256,15.89846471,2.648751585,10333.32156
Asus,2.951470876,32,256,14.00909277,2.625765103,10781.5392
HP,3.08066072,32,512,11.42534946,2.889176021,18167.29983
HP,1.532736141,4,1000,12.87717897,4.732408013,31381.40555
Dell,3.15884343,4,512,16.61178259,3.642244521,17124.22007
HP,1.945089917,8,256,16.10408156,4.201716131,9280.142422
Acer,3.902675794,16,256,16.89143419,3.039676279,9701.088818
HP,1.871656819,8,1000,14.7679603,3.223147312,31673.69623
Asus,2.536560309,16,512,12.48506044,2.376696736,17493.65016
Asus,1.71337417,4,1000,11.9768903,2.513884873,31339.15974
Asus,3.99218563,32,512,12.12148664,4.482069664,18495.18097
Asus,2.755487526,8,256,11.11877395,3.754515895,9140.170448
Acer,2.988462543,32,1000,13.34409267,3.012597398,33151.04094
Lenovo,1.667691193,8,1000,12.14856608,4.408553627,31612.05197
Dell,3.374901176,4,256,13.46993276,2.739559717,9081.898738
Asus,2.024763983,4,1000,16.60996659,4.928098096,31650.73015
HP,3.745135724,4,512,13.58324126,3.034452823,17076.68133
Asus,2.012849101,8,512,16.26790698,3.011932862,16983.63602
HP,1.976719302,16,512,14.6330286,2.935735717,17283.37601
HP,1.59137417,8,512,12.48278933,2.366334548,16788.6686
Asus,2.680167363,16,256,13.13512856,2.333411442,10029.58177
Acer,2.912102833,8,1000,11.50351721,3.944315104,31879.66276
HP,1.664271599,8,512,13.00077556,4.625354134,17008.98571
HP,3.438819042,4,256,15.06524567,4.371561531,9362.265977
Asus,2.633222087,32,1000,11.43266656,2.423322782,33008.89887
HP,2.810975673,32,1000,12.23240845,3.636746365,32703.61323
HP,2.601906867,16,256,13.28864625,2.316774638,9859.675148
Asus,2.501907652,32,256,16.89229722,2.135883931,10566.17103
Asus,2.899100828,8,512,15.70917094,3.969157578,16702.35101
Dell,1.888100615,8,1000,15.40092048,3.605457001,31232.36363
Acer,1.954820326,4,1000,11.69714574,2.246071056,31169.85051
Acer,3.654464053,4,256,15.68597536,2.104817739,9486.594937
HP,3.865288655,32,1000,15.71161287,4.96926924,33005.18134
Acer,2.433273291,16,512,14.60661617,2.090063996,17299.66299
HP,2.176861683,32,1000,16.94217069,3.333584759,32993.53209
Dell,3.109998858,32,256,12.95152344,3.513857074,10514.88925
Asus,2.521835428,32,256,16.64763469,2.351840443,10859.96282
Asus,1.563465889,32,512,16.48838669,2.507185335,18310.41381
Asus,1.890381493,8,512,11.06888396,3.055415019,16833.27609
