horas_de_estudios,calificaciones
1,78
2,82
3,86
4,89
5,92
6,94
7,95
8,96
9,97
10,98
11,99
12,100
13,99
14,98
15,97
16,96
17,95
18,94
19,93
20,92
21,91
22,90
23,89
24,88
25,87
26,86
27,85
28,84
29,83
30,82
31,81
32,80
33,79
34,78
35,77
36,76
37,75
38,74
39,73
40,72
41,71
42,70
43,69
44,68
45,67
46,66
47,65
48,64
49,63
50,62
51,61
52,60
53,59
54,58
55,57
56,56
57,55
58,54
59,53
60,52
61,51
62,50
63,49
64,48
65,47
66,46
67,45
68,44
69,43
70,42
71,41
72,40
73,39
74,38
75,37
76,36
77,35
78,34
79,33
80,32
81,31
82,30
83,29
84,28
85,27
86,26
87,25
88,24
89,23
90,22
91,21
92,20
93,19
94,18
95,17
96,16
97,15
98,14
99,13
100,12
1,78
2,82
3,86
4,89
5,92
6,94
7,95
8,96
9,97
10,98
11,99
12,100
13,99
14,98
15,97
16,96
17,95
18,94
19,93
20,92
21,91
22,90
23,89
24,88
25,87
26,86
27,85
28,84
29,83
30,82
31,81
32,80
33,79
34,78
35,77
36,76
37,75
38,74
39,73
40,72
41,71
42,70
43,69
44,68
45,67
46,66
47,65
48,64
49,63
50,62
51,61
52,60
53,59
54,58
55,57
56,56
57,55
58,54
59,53
60,52
61,51
62,50
63,49
64,48
65,47
66,46
67,45
68,44
69,43
70,42
71,41
72,40
73,39
74,38
75,37
76,36
77,35
78,34
79,33
80,32
81,31
82,30
83,29
84,28
85,27
86,26
87,25
88,24
89,23
90,22
91,21
92,20
93,19
94,18
95,17
96,16
97,15
98,14
99,13
100,12
